column,problem,answer
B,120 s = ? min,2
B,300 s = ? min,5
B,2 gal = ? qt,8
B,660 s = ? min,11
B,224 oz = ? lb,14
B,68 qt = ? gal,17
B,1200 min = ? h,20
B,1380 s = ? min,23
B,104 qt = ? gal,26
B,1044 in = ? yd,29
B,2 lb = ? oz,32
B,3 ft = ? in,36
B,14 yd = ? ft,42
B,12 gal = ? qt,48
B,13 gal = ? qt,52
I,19 yd = ? ft,57
I,4 lb = ? oz,64
I,23 yd = ? ft,69
I,25 yd = ? ft,75
I,26 yd = ? ft,78
I,12 week = ? days,84
I,30 yd = ? ft,90
I,24 gal = ? qt,96
I,26 gal = ? qt,104
I,16 week = ? days,112
I,5 day = ? h,120
I,11 ft = ? in,132
I,4 yd = ? in,144
I,22 week = ? days,154
I,23 week = ? days,161
N,11 lb = ? oz,176
N,27 week = ? days,189
N,2 m = ? cm,200
N,13 lb = ? oz,208
N,14 lb = ? oz,224
N,7 yd = ? in,252
N,17 lb = ? oz,272
N,3 m = ? cm,300
N,20 lb = ? oz,320
N,29 ft = ? in,348
N,23 lb = ? oz,368
N,25 lb = ? oz,400
N,7 h = ? min,420
N,19 day = ? h,456
N,8 min = ? s,480
G,22 day = ? h,528
G,16 yd = ? in,576
G,17 yd = ? in,612
G,11 min = ? s,660
G,29 day = ? h,696
G,21 yd = ? in,756
G,8 m = ? cm,800
G,24 yd = ? in,864
G,16 h = ? min,960
G,28 yd = ? in,1008
G,18 min = ? s,1080
G,20 min = ? s,1200
G,22 min = ? s,1320
G,24 min = ? s,1440
G,16 m = ? cm,1600
O,17 m = ? cm,1700
O,19 m = ? cm,1900
O,22 m = ? cm,2200
O,25 m = ? cm,2500
O,28 m = ? cm,2800
O,3 km = ? m,3000
O,6 km = ? m,6000
O,9 km = ? m,9000
O,12 km = ? m,12000
O,15 km = ? m,15000
O,18 km = ? m,18000
O,21 km = ? m,21000
O,24 km = ? m,24000
O,27 km = ? m,27000
O,30 km = ? m,30000
